nr,pytanie,A,B,C,D,odpowiedz,uwagi
1,"Wielkość informująca, jaka część przychodów pozostaje do dyspozycji podmiotu, po pokryciu kosztów zmiennych, na pokrycie kosztów stałych i pożądanego zysku, to:","marża brutto","stopa marży brutto","","","A",""
2,"Niski poziom wskaźnika obrotowości należności informuje o tym, że podmiot zbyt długo kredytuje swoich odbiorców:","Tak","Nie","","","A",""
3,"Analiza mająca za zadanie sprawdzać strukturę kapitału (pasywów) pod kątem zdolności przedsiębiorstwa do regulowania zobowiązań zwłaszcza długoterminowych, to:","analiza płynności","analiza wypłacalności","","","B",""
4,"Zbyt wysoka wartość wskaźnika ogólnego zadłużenia świadczy o dużym ryzyku finansowym, informując jednocześnie, że przedsiębiorstwo może utracić zdolność do zwrotu długów:","Tak","Nie","","","A",""
5,"Dominacja kosztów niezależnych od rozmiarów produkcji sprawia, iż tempo zmian kosztów całkowitych jest:","wyraźnie wolniejsze od tempa zmian wielkości sprzedaży","wyraźnie szybsze od tempa zmian wielkości sprzedaży","","","A",""
6,"Ze względu na rolę jaką odgrywa kapitał produkcyjny w działalności wytwórczej, dzieli się go na:","kapitał obrotowy i kapitał trwały","Kapitał stały i kapitał zmienny","","","A",""
7,"Przedsiębiorstwo wypracowuje ekonomiczną wartość dodaną, jeżeli rentowność kapitału jest:","mniejsza od średniego ważonego kosztu kapitału","większa od średniego ważonego kosztu kapitału","","","B",""
8,"Modele predykcji bankructwa wykorzystują:","Pozytywną teorię bankructwa","Normatywną teorię bankructwa","","","A",""
9,"Metodę funkcjonalną, kompleksową i decyzyjną wyróżnia się z punktu widzenia:","przeznaczenia","metody badań","przedmiotu","szczegółowości","A",""
10,"Metody polegające głównie na opisie dynamiki szeregów czasowych, wyrażonych za pomocą wskaźników lub przedstawionych w formie graficznej, to:","metody jakościowe analizy","metody ilościowe analizy","","","B",""
11,"Zasada, że kapitał nie powinien być dłużej czasowo związany ze składnikami majątku niż wynosi okres jego pozostawania w przedsiębiorstwie, to:","złota zasada finansowa","złota zasada bilansowa","","","A",""
12,"Biorąc pod uwagę stopień pogłębienia badania zjawisk oraz formę opisu, wyróżnia się:","metody porównań i badania przyczynowego","metody statyczne i dynamiczne","","","B",""
13,"Wskaźniki ukazujące efekty w postaci wyników finansowych w stosunku do wartości sprzedaży, zaangażowanego majątku czy kapitałów, to:","wskaźniki sprawności działania","wskaźniki rentowności działania","","","B",""
14,"Jeżeli w mianowniku wskaźnika rentowności kapitałów własnych uwzględni się kapitał stały, wówczas rentowność tego kapitału jest równa rentowności majątku:","Tak","Nie","","","B",""
15,"O poziomie należności finansowej informuje wskaźnik:","zastosowania kapitałów własnych","zastosowania kapitałów obcych","struktury kapitału","struktury majątku","B",""
16,"Metody ujmujące wpływ czynników podstawowych, drugorzędnych i przypadkowych na badane zjawisko, to:","metody deterministyczne","metody stochastyczne","","","B",""
17,"Metoda obejmująca etapy: ustalenie wskaźników zmienności i stopnia zmian poszczególnych czynników oraz ustalenie odchyleń cząstkowych, to:","metoda różnic cząstkowych","metoda podstawień cząstkowych","metoda funkcyjna","metoda podstawień krzyżowych","B",""
18,"Wyniki uzyskiwane metodą funkcyjną oraz metodą podstawień krzyżowych są identyczne, podobnie wyniki uzyskane metodą różnic cząstkowych i metodą kolejnych podstawień są takie same:","Tak","Nie","","","A",""
19,"Ilościowe, bezwzględne wielkości charakteryzujące rozmiary określonych zjawisk ekonomicznych, to:","mierniki ekonomiczne","wskaźniki ekonomiczne","","","A",""
20,"Różnice w treści, budowie i sposobie liczenia różnych wielkości ekonomicznych, określane są jako przesłanka:","zmian metodologicznych","zmian finansowych","zmian organizacyjnych","zmian rzeczowych","A",""
21,"Wraz z oddalaniem się rzeczywiście osiągniętej sprzedaży od progu rentowności rośnie margines bezpieczeństwa oraz:","rośnie stopień dźwigni operacyjnej","maleje stopień dźwigni operacyjnej","","","B",""
22,"Jeżeli krzywa kosztów rośnie szybciej niż krzywa sprzedaży, to pochodna kosztu jest:","większa niż pochodna sprzedaży po rozmiarze produkcji","mniejsza niż pochodna sprzedaży po rozmiarze produkcji","","","A",""
23,"Porównania, pozwalające na ustalenie wskaźników dynamiki i określenie tendencji rozwojowej badanego zjawiska, to:","porównania w czasie przy podstawie zmiennej","porównania w czasie przy podstawie stałej","","","A",""
24,"Ustalając rentowność całego kapitału zainwestowanego w przedsiębiorstwo, zysk netto należy powiększyć o odsetki zapłacone od kapitałów obcych pomniejszone o przypadający na nie podatek dochodowy:","Tak","Nie","","","A",""
25,"Do oceny zjawiska dźwigni finansowej, które ma miejsce gdy rentowność operacyjna aktywów jest większa od stopy procentowej kredytów i pożyczek, służy wskaźnik:","rentowności kapitału własnego","rentowności aktywów","rentowności operacyjnej","rentowności kapitału całkowitego","A",""
26,"Zazwyczaj poziom wskaźnika ROE jest skorelowany ze wskaźnikiem rotacji aktywów:","dodatnio – przedsiębiorstwa o wysokiej marży zysku mają jednocześnie wysokie wskaźniki rotacji aktywów","ujemnie – przedsiębiorstwa o wysokiej marży zysku mają jednocześnie niskie wskaźniki rotacji aktywów","","","B",""
27,"Kapitał obrotowy określa tę część majątku obrotowego, która pozostałaby w podmiocie po uregulowaniu zobowiązań bieżących, co odpowiada podejściu kapitałowemu jego obliczania:","Tak","Nie – to podejście majątkowe","","","B",""
28,"Ocena pokrycia zobowiązań bieżących w sytuacji gdyby zapasy nie miały żadnej wartości, jest dokonywana z wykorzystaniem:","wskaźnika bieżącej płynności","wskaźnika podwyższonej płynności","wskaźnika wystarczalności gotówkowej","wskaźnika wydajności gotówkowej","B",""
29,"O tym, jaka część obrotu i wyniku finansowego ze sprzedaży zostaje w przedsiębiorstwie w formie gotówkowej, informują:","wskaźnik bieżącej płynności","wskaźnik podwyższonej płynności","wskaźnik wystarczalności gotówkowej","wskaźnik wydajności gotówkowej","D",""
30,"Wskaźniki będące odzwierciedleniem relacji pomiędzy osiąganymi przychodami a stanem majątku całkowitego i trwałego, to:","wskaźniki sprawności","wskaźniki rentowności","","","A",""
31,"Jeśli kapitał stały pokryje z naddatkiem aktywa trwałe, to spełniona jest:","Złota zasada finansowa","Złota zasada bilansowa","","","B",""
32,"Jeśli wskaźnik struktury kapitału jest niższy od 1, to kapitał obrotowy osiąga wartość:","Zerową","Żadna z odpowiedzi nie jest poprawna","Ujemną","Dodatnią","D",""
33,"Próg rentowności zależy wprost proporcjonalnie od:","Poziomu kosztów stałych","Poziomu kosztów zmiennych","Wielkości stopy marży brutto","Wielkości dźwigni operacyjnej","A",""
34,"Jeśli pochodna po sprzedaży jest wyższa od pochodnej po kosztach, to:","Maleje udział kosztów stałych w kosztach całkowitych","Wzrasta udział kosztów stałych w kosztach całkowitych","","","B","Wątpliwość zaznaczona w źródle"
35,"Ocena wskazuje w jakim stopniu osiągnięto zakładane cele, diagnoza pozwala ustalić czy podmiot jest zdrowy, natomiast analiza ekonomiczna:","Umożliwia określenie czy występują zakłócenia","Umożliwia rozpoznanie przyczyn zakłóceń","","","B",""
36,"Wzrastająca długość cyklu kapitału obrotowego netto wskazuje, że przedsiębiorstwo:","Generuje nadwyżkę kapitału krótkoterminowego","Wymaga zasilenia kapitałowego krótkoterminowego","Wcześniej uzyskuje środki na zakup materiałów","Wzrasta rentowność sprzedaży","B",""
37,"Jeśli wskaźnik bieżącej płynności jest wyższy od 1, to kapitał obrotowy osiąga wartość:","Zerową","Ujemną","Żadna z odpowiedzi nie jest poprawna","Dodatnią","D",""
38,"Jeżeli zmniejszy się liczba dostaw i koszty stałe przy niezmienionym jednostkowym koszcie magazynowania materiałów, to wskaźnik EPD wykaże:","Zmianę wprost proporcjonalną","Brak związku między tymi miarami","Zmniejszenie","Wzrost","C",""
39,"Model następstwa czasowego wskaźników kwantytatywnych wymaga, aby:","Majątek rósł szybciej jak zysk","Przychody rosły szybciej jak zysk","Majątek rósł szybciej jak koszty","Koszty rosły szybciej niż majątek","B",""
40,"Jeżeli wzrasta rentowność sprzedaży przy niezmienionym cyklu krążenia kapitału ogółem, to:","Wzrasta rentowność kapitału własnego","Maleje rentowność majątku","Maleje rentowność kapitału własnego","Wzrasta rentowność majątku","D",""
41,"Jeśli wskaźnik zastosowania kapitału własnego jest wyższy od 1, to kapitał obrotowy osiąga wartość:","Zerową","Ujemną","Dodatnią","Żadna z odpowiedzi nie jest poprawna","B",""
42,"Jeśli wskaźnik samofinansowania przekracza ½, to dominuje w źródłach finansowania:","Kapitał obcy","Kapitał obcy długoterminowy","Kapitał podstawowy","Kapitał własny","D",""
43,"Duży stopień pokrycia środków obrotowych zobowiązaniami wskazuje, iż udzielenie krótkoterminowych kredytów przedsiębiorstwu jest ryzykowne:","Prawda","Fałsz","","","A",""
44,"Model następstwa czasowego wskaźników kwalitatywnych wymaga, aby:","Produktywność rosła szybciej jak wydajność","Wydajność rosła szybciej jak rentowność majątku","Wydajność rosła szybciej jak techniczne uzbrojenie pracy","Produktywność rosła szybciej jak techniczne uzbrojenie pracy","C",""
45,"Koszty utrzymania zapasów (koszty kapitału zamrożonego, magazynowania, ubezpieczenia, starzenia się) mają charakter:","Kosztów zmiennych","Kosztów względnie stałych","","","B",""
46,"Dodatni kapitał obrotowy oznacza równość ze źródłem finansowania w postaci:","Kapitału obcego","Kapitału stałego","Kapitału krótkoterminowego","Kapitału własnego","B",""
47,"Niezmienność pewnej części kosztów powoduje, że każde zwiększenie sprzedaży przynosi:","Poniżej proporcjonalny przyrost zysku","Wprost proporcjonalny przyrost zysku","Brak związku między tymi miarami","Ponad proporcjonalny przyrost zysku","D",""
48,"Jeżeli wskaźnik zadłużenia ogółem jest równy wskaźnikowi samofinansowania to:","Kapitał obcy jest wyższy od kapitału własnego","Brak związku między tymi miarami","Kapitał własny jest równy kapitałowi obcemu","Kapitał własny jest wyższy od kapitału obcego","C",""
49,"Zwiększenie kosztów stałych oraz udziału kosztów zmiennych sprzedaży powoduje, że przedsiębiorstwo przekracza punkt krytyczny:","W tym samym momencie","Później","Brak związku między tymi miarami","Wcześniej","D",""
50,"Jeśli wskaźnik rotacji zapasów w razach wykazuje tendencję spadkową, to cykl zapasów w dniach ulega:","Zmianom wprost proporcjonalnym","Brak związku między tymi miarami","Wydłużeniu","Skróceniu","C",""
